UF,Cidade,Índice
PR,Nova Santa Rosa,"6,94"
PA,Paragominas,"6,94"
RS,Pejuçara,"6,94"
RO,Primavera de Rondônia,"6,94"
PB,São Miguel de Taipu,"6,94"
RS,Senador Salgado Filho,"6,94"
PI,Simões,"6,94"
PI,Sussuapara,"6,94"
RS,Tuparendi,"6,94"
SC,Aurora,"6,80"
PB,Cajazeirinhas,"6,80"
RS,Carlos Barbosa,"6,80"
RS,Caseiros,"6,80"
PE,Condado,"6,80"
RS,Ibiaçá,"6,80"
PB,Pedras de Fogo,"6,80"
PA,Portel,"6,80"
RS,Rondinha,"6,80"
SC,Tijucas,"6,80"
MA,Timbiras,"6,80"
SP,Alto Alegre,"6,66"
RS,Barra Funda,"6,66"
PI,Cabeceiras do Piauí,"6,66"
CE,Deputado Irapuan Pinheiro,"6,66"
RS,Esperança do Sul,"6,66"
SC,Forquilhinha,"6,66"
PR,Guaíra,"6,66"
GO,Itapuranga,"6,66"
RN,Jucurutu,"6,66"
CE,Mucambo,"6,66"
ES,Muqui,"6,66"
AL,Murici,"6,66"
MG,Paraopeba,"6,66"
PI,Parnaíba,"6,66"
SP,Roseira,"6,66"
MG,São Domingos das Dores,"6,66"
PA,São Miguel do Guamá,"6,66"
RJ,Sapucaia,"6,66"
MA,Senador Alexandre Costa,"6,66"
PE,Tabira,"6,66"
PR,Tupãssi,"6,66"
SP,Vitória Brasil,"6,66"
TO,Aguiarnópolis,"6,52"
PB,Bayeux,"6,52"
PB,Mataraca,"6,52"
PI,Teresina²,"6,52"
PE,Cabrobó,"6,39"
PE,Agrestina,"6,38"
TO,Centenário,"6,38"
RS,Eldorado do Sul,"6,38"
MG,Itaú de Minas,"6,38"
PR,Jundiaí do Sul,"6,38"
MG,Malacacheta,"6,38"
CE,Marco,"6,38"
RN,Natal²,"6,38"
SP,Platina,"6,38"
MG,São Domingos do Prata,"6,38"
ES,São José do Calçado,"6,38"
PI,São Pedro do Piauí,"6,38"
BA,Alagoinhas,"6,25"
PI,Belém do Piauí,"6,25"
RR,Bonfim,"6,25"
GO,Campinaçu,"6,25"
RJ,Carapebus,"6,25"
CE,Caririaçu,"6,25"
GO,Crixás,"6,25"
PR,Douradina,"6,25"
TO,Figueirópolis,"6,25"
SC,Gravatal,"6,25"
SP,Guaraçaí,"6,25"
RN,Ipanguaçu,"6,25"
CE,Ipaporanga,"6,25"
PI,Lagoa do Sítio,"6,25"
SC,Monte Carlo,"6,25"
SP,Natividade da Serra,"6,25"
SE,Nossa Senhora do Socorro,"6,25"
PB,Remígio,"6,25"
PB,São José de Espinharas,"6,25"
PB,Alagoa Nova,"6,11"
PE,Aliança,"6,11"
AM,Anori,"6,11"
RJ,Armação dos Búzios,"6,11"
ES,Baixo Guandu,"6,11"
MG,Barbacena,"6,11"
SE,Barra dos Coqueiros,"6,11"
GO,Barro Alto,"6,11"
AM,Benjamin Constant,"6,11"
PR,Bituruna,"6,11"
PR,Bom Jesus do Sul,"6,11"
MS,Caarapó,"6,11"
RS,Capão da Canoa,"6,11"
SP,Cardoso,"6,11"
MG,Carmo do Rio Claro,"6,11"
PB,Caturité,"6,11"
MS,Corguinho,"6,11"
PR,Goioerê,"6,11"
SC,Governador Celso Ramos,"6,11"
CE,Iracema,"6,11"
RJ,Itaperuna,"6,11"
RJ,Itatiaia,"6,11"
SC,Jaguaruna,"6,11"
PR,Japira,"6,11"
SC,Jupiá,"6,11"
PI,Lagoa do Barro do Piauí,"6,11"
AM,Manaus²,"6,11"
AL,Messias,"6,11"
RS,Nova Bassano,"6,11"
MT,Nova Lacerda,"6,11"
MG,Pequi,"6,11"
PR,Pinhalão,"6,11"
BA,Poções,"6,11"
MG,Queluzito,"6,11"
SC,Rio do Sul,"6,11"
MG,Rio Novo,"6,11"
MG,Santa Rita de Jacutinga,"6,11"
PR,Santana do Itararé,"6,11"
MG,São Tomás de Aquino,"6,11"
RS,Serafina Corrêa,"6,11"
RN,Serra do Mel,"6,11"
PE,Sertânia,"6,11"
RS,Tapera,"6,11"
CE,Tarrafas,"6,11"
MT,Alto Garças,"5,97"
PB,Bernardino Batista,"5,97"
RS,Independência,"5,97"
RS,Protásio Alves,"5,97"
MS,Sidrolândia,"5,97"
MS,Taquarussu,"5,97"
SP,Atibaia,"5,83"
MA,Barreirinhas,"5,83"
