,vl_licitacao,indicador1,indicador2,indicador3,indicador4,Id,Prob,Grupo
1836,"120.000,00","1,0000",0,"0,0000",0,1936,"0,1372",1
1837,"29.125,00","0,8645",0,"0,0000",0,1937,"0,1911",1
1838,"3.833,33","0,9999",1,"0,0000",0,1938,"1,0000",3
1839,"15.693,33","0,9558",1,"0,0000",0,1939,"1,0000",3
1840,"42.968,60","0,9983",1,"0,0000",0,1940,"1,0000",3
1841,"224.811,47","0,8299",0,"0,6100",0,1941,"1,0000",7
1842,"7.527.440,06","0,8630",0,"0,0000",0,1942,"0,0008",1
1843,"20.000,00","1,1725",0,"0,0000",0,1943,"0,0272",1
1844,"80.000,00","0,8650",0,"0,0000",0,1944,"0,1240",1
1845,"119.890,00","0,8541",0,"0,0000",0,1945,"0,0939",1
1846,"42.307,56","1,1900",0,"0,0000",0,1946,"0,0254",1
1847,"461.985,87","0,0000",0,"0,0600",0,1947,"0,0001",1
1848,"26.358,17","0,9968",0,"0,0000",0,1948,"0,7613",1
1849,"136.208,03","0,8820",0,"0,2200",0,1949,"1,0000",5
1850,"90.230,19","1,0000",1,"0,0000",0,1950,"1,0000",3
1851,"33.300,05","0,9970",0,"0,0000",0,1951,"0,6247",1
1852,"51.883,98","0,7800",0,"0,0000",0,1952,"0,1237",1
1853,"154.697,88","0,7738",0,"0,0600",0,1953,"0,0001",1
1854,"706.976,29","0,9950",0,"0,0000",0,1954,"0,0196",1
1855,"35.937,50","0,9184",0,"0,0000",0,1955,"0,2147",1
1856,"3.577,50","0,9518",1,"0,0000",0,1956,"1,0000",3
1857,"1.120,00","0,9464",0,"0,3300",0,1957,"0,0000",-1
1858,"12.000,00","1,0000",0,"0,0000",0,1958,"1,0000",1
1859,"21.250,00","0,9995",1,"0,0000",0,1959,"1,0000",3
1860,"552.835,20","0,6096",0,"0,0000",0,1960,"0,0172",1
1861,"25.050,00","0,3593",0,"0,3800",1,1961,"0,3685",0
1862,"79.779,96","0,9965",0,"0,0000",0,1962,"0,2340",1
1863,"80.578,88","0,9974",1,"0,5400",0,1963,"0,0000",-1
1864,"32.609,81","0,8497",0,"0,0000",0,1964,"0,1797",1
1865,"301.089,85","1,0000",1,"0,0000",0,1965,"1,0000",3
1866,"39.000,00","1,0360",0,"0,0000",0,1966,"0,1250",1
1867,"121.059,71","0,9995",0,"0,0000",1,1967,"1,0000",0
1868,"14.000,00","0,8437",0,"0,0000",0,1968,"0,1734",1
1869,"29.655,00","0,5699",0,"0,0000",0,1969,"0,0730",1
1870,"173.061,63","0,8251",0,"0,6100",0,1970,"1,0000",7
1871,"68.400,00","0,9994",0,"0,6900",1,1971,"0,2029",0
1872,"93.188,00","0,9976",1,"0,0000",0,1972,"1,0000",3
1873,"80.000,00","0,8616",1,"0,0000",0,1973,"0,7108",3
1874,"43.280,00","0,8147",0,"0,0000",0,1974,"0,1446",1
1875,"403.278,93","0,9070",0,"0,0000",0,1975,"0,0459",1
1876,"177.300,00","0,9306",0,"0,0000",0,1976,"0,0742",1
1877,"36.490,50","0,9434",1,"0,0000",0,1977,"1,0000",3
1878,"25.620,00","0,8150",0,"0,0000",0,1978,"0,1672",1
1879,"17.167,00","0,7165",0,"0,8200",0,1979,"0,0000",-1
1880,"19.828,80","1,0905",1,"0,3000",0,1980,"0,0005",3
1881,"30.320,00","0,9944",0,"0,0000",0,1981,"0,5918",1
1882,"110.402,03","0,9959",0,"0,3300",0,1982,"0,0000",-1
1883,"2.499,00","0,9604",0,"0,6800",0,1983,"1,0000",6
1884,"42.244,41","0,8747",0,"0,9600",0,1984,"1,0000",2
1885,"16.626,70","0,9568",1,"0,0000",1,1985,"0,0000",-1
1886,"5.996,00","1,0000",1,"0,0000",0,1986,"1,0000",3
1887,"7.983,00","1,0000",1,"0,0000",0,1987,"1,0000",3
1888,"243.333,33","0,8589",0,"0,0000",0,1988,"0,0718",1
1889,"250.000,00","0,8672",0,"0,0000",0,1989,"0,0740",1
1890,"31.334,00","0,9734",0,"0,0000",0,1990,"0,2755",1
1891,"218.133,70","0,9849",1,"0,0000",0,1991,"1,0000",3
1892,"1.120,00","0,9821",1,"0,0000",0,1992,"1,0000",3
1893,"99.999,32","0,9699",0,"0,0000",0,1993,"0,1481",1
1894,"385.250,00","0,8565",0,"0,0000",0,1994,"0,0464",1
1895,"60.000,00","0,9167",0,"0,0000",0,1995,"0,1632",1
1896,"25.651,92","0,9964",1,"0,9600",0,1996,"0,0000",-1
1897,"49.200,00","0,8699",1,"0,0000",0,1997,"0,9145",3
1898,"8.000,00","0,9987",0,"0,0000",0,1998,"1,0000",1
1899,"53.500,00","0,9813",0,"0,0000",0,1999,"0,2514",1
1900,"54.000,00","0,9522",1,"0,0000",0,2000,"1,0000",3
1901,"13.064,05","0,5894",0,"0,1900",0,2001,"0,0000",-1
1902,"18.237,00","1,0000",1,"0,7500",0,2002,"1,0000",4
1903,"200.000,00","0,4900",0,"0,0000",0,2003,"0,0287",1
1904,"1.627.464,45","0,7987",0,"0,9700",0,2004,"1,0000",2
1905,"173.060,08","0,9505",0,"0,0000",0,2005,"0,0861",1
1906,"1.397.192,16","1,0000",1,"0,0000",0,2006,"0,0673",3
1907,"30.355,00","1,0000",0,"0,0000",0,2007,"0,6657",1
1908,"3.325,00","0,9892",0,"0,0000",0,2008,"0,4242",1
1909,"300.032,47","0,7000",0,"0,0000",0,2009,"0,0361",1
1910,"17.883,00","0,9786",1,"0,1900",0,2010,"0,0000",-1
1911,"3.500,00","0,9929",1,"0,5700",0,2011,"1,0000",4
1912,"151.801,96","1,0000",1,"0,1900",0,2012,"0,0000",-1
1913,"26.607,00","0,3847",0,"0,1900",0,2013,"0,0000",-1
1914,"21.900,00","0,9991",1,"0,1900",0,2014,"0,0000",-1
1915,"14.420,67","0,9431",0,"0,8200",0,2015,"0,0000",-1
1916,"198.831,08","0,9985",1,"0,8500",0,2017,"0,0000",-1
1917,"258.646,60","0,9990",1,"0,8500",0,2018,"0,0000",-1
1918,"418.851,40","0,9498",0,"0,8500",0,2019,"0,0000",-1
1919,"30.247,71","0,6050",0,"0,0000",0,2020,"0,0836",1
1920,"60.000,00","1,0000",0,"0,0000",0,2021,"0,2798",1
1921,"207.546,50","0,8099",0,"0,0000",0,2022,"0,0655",1
1922,"724.831,52","0,8863",0,"0,7500",0,2023,"0,0000",-1
1923,"12.133,60","0,7747",0,"0,5700",0,2024,"0,0000",-1
1924,"26.951,00","0,9473",1,"0,8500",0,2025,"0,0000",-1
1925,"106.565,00","0,4540",0,"0,0000",0,2026,"0,0446",1
