id,cd_orgao,nr_licitacao,ano_licitacao,cd_tipo_modalidade,vl_licitacao,indicador1,indicador2,indicador3,indicador4
7731,50100,39,2017,TMP,46047.43,0.86675131,0,0.0,0
7734,53300,15,2018,TMP,424798.98,0.99999559,1,0.18000001,0
7736,53300,11,2018,TMP,81930.08,0.99988222,1,0.18000001,0
7737,63400,171,2017,CNV,68045.60,0.70000207,0,0.61000001,0
7739,53300,2,2018,TMP,451000.00,0.82655978,0,0.18000001,0
7742,53300,7,2018,TMP,75775.57,0.99011451,1,0.18000001,0
7743,63400,168,2017,CNV,134339.27,0.76689941,0,0.61000001,0
7745,53300,6,2018,TMP,44423.35,0.82723522,1,0.18000001,0
7749,44500,3,2017,TMP,1397353.96,0.77353996,1,0.97000003,0
7751,84900,2,2018,TMP,300394.33,0.99966788,1,0.0,0
7758,71500,17,2018,TMP,32671.57,1.09805095,1,0.0,0
7760,51900,17,2017,TMP,64717.72,0.82517016,0,0.0,0
7761,71500,12,2018,TMP,147098.49,0.9997772,1,0.0,0
7762,71500,1,2018,CNV,9017.00,0.99717975,0,0.0,0
7763,63200,8,2017,TMP,259532.32,0.8965683,0,0.0,1
7764,71500,2,2018,TMP,8509.69,0.99864858,1,0.0,0
7765,52900,10,2017,TMP,70080.12,0.73874003,0,0.61000001,0
7766,52900,16,2017,CNV,30286.47,0.92998493,0,0.61000001,0
7767,71500,5,2018,TMP,372106.48,0.87978071,0,0.0,0
7773,900,11,2018,CNV,191913.40,0.77231592,1,0.0,0
7775,900,4,2018,CNV,17993.76,0.92995352,1,0.0,0
7788,7100,579,2018,TMP,47928.45,0.84999204,1,0.0,0
7789,43000,6,2017,CNC,376728.06,0.87755686,1,0.0,0
7790,7100,118,2018,TMP,966521.49,0.71894032,0,0.0,0
7791,44300,11,2017,TMP,48914.76,0.80534774,0,0.0,0
7792,7100,170,2018,CNV,101772.85,0.92822444,0,0.0,0
7795,88027,1,2018,TMP,84317.11,0.82473928,0,0.85000002,0
7798,49800,3,2018,TMP,30548.66,1.08378243,1,0.0,0
7800,49800,8,2018,TMP,37473.89,1.11278737,1,0.0,0
7801,43000,7,2017,CNC,236529.51,0.88080579,1,0.0,0
7802,44300,12,2017,TMP,583306.00,0.99041981,0,0.0,0
7803,59900,8,2018,TMP,113923.97,1.0,1,0.0,0
7809,300,3,2017,CNC,5248693.80,0.96292341,0,0.0,0
7811,300,2,2017,CNC,7315169.10,0.94528776,0,0.0,0
7813,300,5,2017,TMP,772240.54,0.78299958,0,0.0,1
7815,300,14,2017,CNV,35838.82,0.79000759,0,0.0,0
7821,61700,2,2017,TMP,146090.50,1.0680269,1,0.95999998,0
7823,300,13,2017,CNV,128902.71,0.8299945,0,0.0,0
7825,300,11,2017,CNV,72050.74,0.99673146,0,0.0,0
7826,300,6,2017,TMP,377129.28,0.73399258,0,0.0,1
7829,300,10,2017,CNV,106093.08,0.80004239,0,0.0,0
7831,45800,2,2017,TMP,74188.98,0.74431002,0,0.0,0
7837,51300,3,2017,TMP,173623.96,0.86121416,0,0.0,0
7838,55500,3,2018,TMP,507952.00,0.78001267,1,0.49000001,0
7841,43000,1,2017,CNC,150740.77,0.99003035,1,0.0,0
7842,43000,3,2017,CNC,282351.90,0.87144864,1,0.0,0
7843,900,12,2018,CNV,153504.73,0.82572138,1,0.0,0
7844,900,8,2018,TMP,331444.17,0.78687555,1,0.0,0
7845,43000,4,2017,CNC,250402.95,1.0,1,0.0,0
7848,900,8,2018,CNV,131724.07,0.81049538,1,0.0,0
7849,49000,4,2017,TMP,27575.70,0.98952377,1,0.0,0
7850,900,9,2018,CNV,151343.84,0.80302775,1,0.0,0
7851,49000,2,2017,TMP,243750.00,0.60966557,0,0.0,0
7852,900,4,2018,TMP,151571.19,0.8447749,1,0.0,0
7854,900,5,2018,TMP,177614.08,0.82379299,1,0.0,0
7859,85200,1,2018,TMP,21622.32,0.79547292,0,0.75999999,0
7868,43100,4,2017,CNC,770470.61,0.71111101,0,0.79000002,0
7869,62501,5,2018,CNV,73792.62,0.98912328,1,0.0,0
7874,67600,1,2017,TMP,112253.25,1.12814653,0,0.0,0
7882,41500,6,2017,TMP,253241.12,0.89098436,0,0.19,0
7888,44500,5,2017,CNC,2226166.58,0.84640449,1,0.97000003,0
7894,44100,18,2017,CNV,22302.61,1.00000048,0,0.25,0
7897,67800,6,2018,TMP,151649.21,0.99504638,1,0.14,0
7899,67800,1,2018,TMP,129456.95,1.0,0,0.14,0
7901,900,14,2018,TMP,1413958.35,0.82597923,1,0.0,0
7903,900,7,2018,TMP,647716.08,0.78693134,1,0.0,0
7904,900,10,2018,CNV,136010.23,0.81699735,1,0.0,0
7906,900,2,2018,TMP,414078.75,0.81297964,1,0.0,0
7908,900,3,2018,TMP,243546.84,0.82699877,1,0.0,0
7909,82701,7,2017,PRP,175219.34,0.98733395,0,0.0,0
7910,900,1,2018,TMP,216589.01,0.83698756,1,0.0,0
7912,48400,28,2018,TMP,61779.93,0.78004557,1,0.0,0
7914,54400,2,2017,CNV,38408.69,0.99592644,1,0.0,0
7915,48400,30,2018,TMP,29778.07,0.9919951,1,0.0,0
7916,48400,8,2018,TMP,24272.50,0.83607954,0,0.0,0
7918,48400,5,2018,TMP,66290.66,0.77020943,0,0.0,0
7919,78900,8,2017,TMP,35402.15,0.99651659,1,0.0,0
7920,48400,4,2018,TMP,14979.47,0.76999187,0,0.0,0
7924,73000,5,2017,TMP,129537.52,1.0,1,0.19,0
7927,69800,1,2017,TMP,306453.13,0.88502938,0,0.0,0
7933,86300,1,2018,CNV,46497.43,0.9831965,0,0.0,0
7946,88029,9,2017,TMP,298171.18,0.98863983,1,0.0,0
7951,70300,1,2018,TMP,277006.33,0.76902515,0,0.0,0
7952,58300,1,2018,TMP,481238.22,0.9994514,1,0.0,0
7953,58100,4,2017,TMP,352179.17,0.88015479,0,0.0,0
7956,71400,6,2017,TMP,59324.16,0.99696517,1,0.0,1
7964,82700,338,2017,TMP,1049712.98,0.79501569,1,0.0,0
7966,56700,10,2017,TMP,11216.51,0.89373612,1,0.0,0
7969,44200,7,2018,TMP,250493.31,0.9999938,1,0.52999997,0
7971,44200,6,2018,TMP,253133.78,0.99998611,1,0.52999997,0
7972,44200,1,2018,TMP,39885.65,0.98999387,1,0.52999997,0
7977,50300,3,2018,TMP,24958.24,0.98609918,0,0.60000002,0
7979,64700,5,2017,TMP,550353.72,0.99975824,1,0.22,0
7984,63600,9,2018,TMP,142674.69,0.79999256,1,0.50999999,0
7985,48500,17,2017,CNC,686166.31,0.97838217,1,0.0,0
7986,63600,10,2018,TMP,48921.39,0.80015612,1,0.50999999,0
7989,63600,2,2018,TMP,740296.36,0.92789662,1,0.50999999,0
7990,63600,4,2018,TMP,20765.67,0.96998847,1,0.50999999,0
7992,63600,5,2018,TMP,39461.54,0.97000748,1,0.50999999,0
7994,63600,3,2018,TMP,64751.29,0.96998608,1,0.50999999,0
7996,63600,1,2018,CNV,120508.57,0.97000164,0,0.50999999,0
8004,78800,1,2018,TMP,10663.50,0.8223604,0,0.75,0
8008,68500,1,2018,TMP,49428.53,0.9899835,1,0.0,0
8023,77301,5,2018,CNV,44422.52,0.85696447,1,0.0,0
8024,48500,18,2017,CNC,107119.90,0.79111755,0,0.0,0
8026,88026,2,2018,TMP,182297.90,0.99939036,0,0.0,0
8028,79100,2,2018,CNC,1253145.92,0.88985664,0,0.0,0
8030,79100,1,2018,CNC,1130180.10,0.90329778,0,0.0,0
8032,71300,2,2017,CNV,32296.22,0.80000383,0,0.0,0
8034,69000,6,2018,TMP,405515.11,0.7950263,0,0.46000001,0
8036,69000,3,2018,TMP,480871.72,0.71939498,0,0.46000001,0
8039,56700,4,2018,TMP,252643.95,0.78894466,0,0.0,0
8047,54300,7,2017,CNV,58067.44,0.88896292,0,0.69,0
8050,79100,4,2018,TMP,32045.03,0.99932688,1,0.0,0
8053,79100,3,2018,TMP,300000.01,0.92632455,1,0.0,0
8056,55100,4,2017,TMP,95223.04,0.9457795,0,0.89999998,0
8057,79100,2,2018,TMP,397783.58,0.82107735,0,0.0,0
8058,86000,9,2017,CNV,48500.00,0.98341835,0,0.0,0
8059,47900,27,2018,PRP,15000.00,1.0,1,0.0,0
8065,48001,1,2018,CNV,19179.67,0.74007636,0,0.0,0
8067,48400,3,2017,TMP,69668.88,0.83072615,0,0.0,0
8068,43900,6,2017,TMP,63094.86,0.92797226,1,0.06,0
8071,41300,1,2017,TMP,125432.04,0.99999028,1,0.0,0
8075,46900,13,2017,TMP,91042.94,0.7759524,0,0.0,1
8076,66500,3,2018,TMP,269852.13,0.89512902,0,0.0,0
8083,53900,112,2017,TMP,179551.60,0.83962017,0,0.0,1
8085,40500,7,2017,TMP,688342.63,0.79705656,0,0.0,0
8097,73900,7,2017,TMP,506679.88,0.99978775,0,0.28,1
8108,44200,4,2017,TMP,251681.19,0.9872191,0,0.52999997,0
8118,77900,8,2018,CNV,54981.44,0.99999964,1,0.95999998,0
8120,300,6,2017,CNC,2369895.94,0.85999465,0,0.0,0
8121,77900,1,2018,TMP,252759.11,0.78980333,0,0.95999998,0
8123,300,1,2017,CNC,1638134.90,0.88032478,0,0.0,0
8127,300,4,2017,CNC,2574446.91,0.73291481,0,0.0,0
8128,51300,46,2017,PRP,13711.27,0.21418439,0,0.0,0
8130,72800,6,2018,TMP,307507.40,0.86707932,0,0.0,0
8134,78000,2,2017,TMP,100072.61,0.88000005,0,0.0,0
8138,50000,22,2018,TMP,85905.73,0.81672221,0,0.0,0
8139,56000,1,2017,CNC,2275105.36,0.86399943,0,1.0,0
8141,56000,1,2017,CNV,51596.52,0.92999548,0,1.0,0
8146,66500,2,2018,TMP,251005.87,0.92099041,1,0.0,1
8147,300,7,2017,TMP,153340.79,0.84000617,0,0.0,0
8148,300,17,2017,CNV,79482.99,0.68650234,0,0.0,0
8152,73400,20,2018,CNV,120453.90,0.83010513,1,0.0,0
8157,77300,16,2018,CNV,19542.70,0.95070076,1,0.0,0
8163,300,5,2017,CNC,56340620.72,1.0,0,0.0,0
8165,300,8,2017,CNC,2177154.44,0.94787955,0,0.0,0
8167,300,9,2017,CNC,7511709.87,1.0,0,0.0,0
8168,300,18,2017,CNV,87578.59,0.89989793,0,0.0,0
8169,48400,7,2018,TMP,138001.34,0.81890285,0,0.0,0
8170,48400,6,2018,TMP,82231.91,0.81980282,1,0.0,0
8171,300,10,2017,CNC,7576287.24,1.0,0,0.0,0
8172,70200,7,2018,TMP,304448.78,0.99961674,0,0.0,0
8173,300,8,2017,TMP,418790.98,0.92780364,0,0.0,0
8175,47400,1,2017,TMP,484627.35,0.7999813,0,0.0,0
8176,55700,2,2018,CNV,101372.26,0.78820282,1,0.0,0
8177,47400,2,2017,TMP,82215.37,0.96363562,1,0.0,0
8184,45000,110,2017,TMP,318871.97,0.89156741,1,0.0,0
8187,45000,111,2017,CNC,5463025.16,1.00000072,1,0.0,0
8189,88044,3,2017,TMP,186485701.00,0.00099785,1,0.0,0
8197,54000,6,2017,TMP,494754.83,0.8378222,0,0.49000001,0
8202,80200,1,2018,TMP,35499.51,0.98592907,1,0.0,0
8209,70700,1,2018,TMP,590699.90,0.79252595,0,0.06,0
8213,49800,6,2017,TMP,69700.55,0.84597224,0,0.0,0
8215,49800,7,2017,TMP,138241.53,0.72303468,0,0.0,0
8218,51200,4,2018,CNV,84608.93,0.91001815,0,0.0,0
8220,51200,1,2018,TMP,115383.96,0.97621047,0,0.0,0
8225,57200,7,2018,TMP,26247.02,0.99992454,1,0.0,0
8227,57200,4,2018,TMP,78154.50,0.89546478,0,0.0,0
8230,53500,1,2018,TMP,30492.21,1.0,1,0.0,0
